# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,-0.000836
2,-0.00031
3,-0.000316
4,-0.00032
5,-0.000324
6,-0.00033
7,-0.000332
8,-0.000336
9,-0.00034
10,-0.000346
11,-0.000356
12,-0.000358
13,-0.00036
14,-0.00037
15,-0.000374
16,-0.000376
17,-0.000382
18,-0.000388
19,-0.000388
20,-0.0004
21,-0.000402
22,-0.000408
23,-0.000416
24,-0.000426
25,-0.00043
26,-0.000436
27,-0.000442
28,-0.000448
29,-0.000454
30,-0.000468
31,-0.000472
32,-0.000476
33,-0.000486
34,-0.000492
35,-0.0005
36,-0.000508
37,-0.00051
38,-0.000526
39,-0.000536
40,-0.000542
41,-0.000552
42,-0.000558
43,-0.000566
44,-0.000574
45,-0.00058
46,-0.000586
47,-0.000592
48,-0.000596
49,-0.000606
50,-0.000612
51,-0.000616
52,-0.000622
53,-0.00063
54,-0.000638
55,-0.00065
56,-0.000656
57,-0.000662
58,-0.00067
59,-0.000674
60,-0.000678
61,-0.000688
62,-0.0007
63,-0.000714
64,-0.000724
65,-0.00073
66,-0.000736
67,-0.00075
68,-0.000752
69,-0.000764
70,-0.000776
71,-0.000784
72,-0.000786
73,-0.000798
74,-0.000802
75,-0.000812
76,-0.000824
77,-0.000824
78,-0.000836
79,-0.00084
80,-0.000846
81,-0.000862
82,-0.000934
83,-0.000884
84,-0.000888
85,-0.000896
86,-0.000906
87,-0.000916
88,-0.00092
89,-0.000934
90,-0.00094
91,-0.000964
92,-0.00097
93,-0.000978
94,-0.000992
95,-0.001004
96,-0.001016
97,-0.001026
98,-0.001038
99,-0.00104
100,-0.001064
101,-0.00109
102,-0.001106
103,-0.00126
104,-0.001274
105,-0.001304
106,-0.001318
107,-0.001204
108,-0.001214
109,-0.001488
110,-0.0015
111,-0.001522
112,-0.001538
113,-0.001402
114,-0.001426
115,-0.00161
116,-0.001628
117,-0.001646
118,-0.00163
119,-0.00167
120,-0.001096
121,-0.001108
122,-0.00112
123,-0.001134
124,-0.001142
125,-0.001158
126,-0.001172
127,-0.001184
128,-0.001202
129,-0.001214
130,-0.00123
131,-0.00124
132,-0.001252
133,-0.001278
134,-0.001286
135,-0.001304
136,-0.001328
137,-0.001342
138,-0.001354
139,-0.001378
140,-0.001392
141,-0.00141
142,-0.001428
143,-0.001444
144,-0.001452
145,-0.001462
146,-0.001476
147,-0.001492
148,-0.001512
149,-0.001534
150,-0.00155
151,-0.001584
152,-0.00159
153,-0.001614
154,-0.001634
155,-0.001648
156,-0.001662
157,-0.001676
158,-0.001686
159,-0.001706
160,-0.001718
161,-0.001742
162,-0.001764
163,-0.001786
164,-0.0018
165,-0.001816
166,-0.001846
167,-0.001866
168,-0.001886
169,-0.001914
170,-0.001928
171,-0.001946
172,-0.00196
173,-0.001982
174,-0.002008
175,-0.002042
176,-0.002064
177,-0.002074
178,-0.002102
179,-0.002116
180,-0.002142
181,-0.002158
182,-0.002178
183,-0.0022
184,-0.00222
185,-0.002236
186,-0.002264
187,-0.002288
188,-0.002314
189,-0.002348
190,-0.00236
191,-0.002388
192,-0.002412
193,-0.00245
194,-0.002478
195,-0.002502
196,-0.002526
197,-0.002554
198,-0.00258
199,-0.002614
200,-0.002638
201,-0.002672
202,-0.002698
203,-0.00275
204,-0.002786
205,-0.002818
206,-0.002842
207,-0.00288
208,-0.002908
209,-0.002938
210,-0.002966
211,-0.002992
212,-0.003024
213,-0.003048
214,-0.003078
215,-0.003102
216,-0.003156
217,-0.003186
218,-0.003218
219,-0.003252
220,-0.003278
221,-0.003328
222,-0.003358
223,-0.003402
224,-0.003434
225,-0.00347
226,-0.00311
227,-0.003138
228,-0.00316
229,-0.00319
230,-0.00342
231,-0.003456
232,-0.003496
233,-0.003628
234,-0.003662
235,-0.003694
236,-0.003732
237,-0.003752
238,-0.003776
239,-0.003818
240,-0.003858
241,-0.003896
242,-0.003928
243,-0.003968
244,-0.00399
245,-0.004016
246,-0.004068
247,-0.004094
248,-0.00414
249,-0.004174
250,-0.004218
251,-0.004262
252,-0.004308
253,-0.00435
254,-0.004394
255,-0.00444
256,-0.004486
257,-0.004528
258,-0.00456
259,-0.004606
260,-0.004654
261,-0.004686
262,-0.00472
263,-0.004776
264,-0.004824
265,-0.004876
266,-0.004912
267,-0.004968
268,-0.005018
269,-0.005074
270,-0.00512
271,-0.00517
272,-0.005236
273,-0.005286
274,-0.00535
275,-0.005402
276,-0.005472
277,-0.00552
278,-0.005562
279,-0.005636
280,-0.005704
281,-0.005766
282,-0.005822
283,-0.005872
284,-0.005914
285,-0.005976
286,-0.006038
287,-0.00609
288,-0.006152
289,-0.006222
290,-0.006288
291,-0.006338
292,-0.006388
293,-0.006436
294,-0.006478
295,-0.006544
296,-0.006602
297,-0.006676
298,-0.006722
299,-0.006778
300,-0.006826
301,-0.006902
302,-0.00698
303,-0.007032
304,-0.007094
305,-0.007148
306,-0.007216
307,-0.007312
308,-0.007368
309,-0.007454
310,-0.00752
311,-0.007582
312,-0.007644
313,-0.00773
314,-0.007788
315,-0.007856
316,-0.007924
317,-0.008022
318,-0.008094
319,-0.008184
320,-0.008258
321,-0.008358
322,-0.008444
323,-0.008532
324,-0.008608
325,-0.008698
326,-0.008782
327,-0.008872
328,-0.008972
329,-0.00905
330,-0.009154
331,-0.009238
332,-0.009344
333,-0.00944
334,-0.009526
335,-0.009614
336,-0.009712
337,-0.009826
338,-0.009912
339,-0.009998
340,-0.010132
341,-0.010232
342,-0.010354
343,-0.010456
344,-0.010558
345,-0.010684
346,-0.01078
347,-0.010892
348,-0.011012
349,-0.011124
350,-0.011232
351,-0.011346
352,-0.011438
353,-0.011546
354,-0.011638
355,-0.011738
356,-0.011852
357,-0.011964
358,-0.011964
359,-0.012302
360,-0.0124
361,-0.012518
362,-0.01263
363,-0.01275
364,-0.012846
365,-0.013002
366,-0.013134
367,-0.013266
368,-0.013384
369,-0.013524
370,-0.013526
371,-0.014092
372,-0.0142
373,-0.014268
374,-0.01442
375,-0.014564
376,-0.01467
377,-0.014812
378,-0.014926
379,-0.01508
380,-0.015216
381,-0.015366
382,-0.015514
383,-0.01569
384,-0.01585
385,-0.016004
386,-0.016156
387,-0.016276
388,-0.016428
389,-0.016572
390,-0.016716
391,-0.016928
392,-0.017052
393,-0.017214
394,-0.017392
395,-0.01755
396,-0.017532
397,-0.017706
398,-0.017772
399,-0.017878
400,-0.018076
401,-0.018254
402,-0.018422
403,-0.018598
404,-0.018762
405,-0.018956
406,-0.01915
407,-0.01935
408,-0.019498
409,-0.019444
410,-0.019626
411,-0.019812
412,-0.019868
413,-0.020058
414,-0.02025
415,-0.020298
416,-0.02053
417,-0.020742
418,-0.02092
419,-0.021104
420,-0.021296
421,-0.02149
422,-0.021726
423,-0.021938
424,-0.022164
425,-0.022356
426,-0.022582
427,-0.022812
428,-0.02298
429,-0.022892
430,-0.02309
431,-0.02308
432,-0.023268
433,-0.023552
434,-0.023794
435,-0.02399
436,-0.024244
437,-0.024528
438,-0.02474
439,-0.02495
440,-0.025176
441,-0.025444
442,-0.025688
443,-0.025938
444,-0.026194
445,-0.026444
446,-0.02666
447,-0.026856
448,-0.026988
449,-0.02677
450,-0.027024
451,-0.027158
452,-0.027178
453,-0.02683
454,-0.026884
455,-0.026868
456,-0.026818
457,-0.027086
458,-0.027378
459,-0.02765
460,-0.02791
461,-0.028206
462,-0.028422
463,-0.02867
464,-0.028892
465,-0.029148
466,-0.029464
467,-0.029358
468,-0.029626
469,-0.029908
470,-0.030186
471,-0.030494
472,-0.030806
473,-0.031072
474,-0.031352
475,-0.03163
476,-0.031912
477,-0.032212
478,-0.03248
479,-0.032764
480,-0.03311
481,-0.033422
482,-0.033764
483,-0.034088
484,-0.034402
485,-0.034762
486,-0.035092
487,-0.035452
