# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,0
2,0.4
3,0.4
4,0.4
5,0.4
6,0.4
7,0.4
8,0.4
9,0.4
10,0.4
11,0.4
12,0.4
13,0.4
14,0.4
15,0.4
16,0.4
17,0.4
18,0.4
19,0.4
20,0.6
21,0.6
22,0.6
23,0.6
24,0.6
25,0.6
26,0.4
27,0.4
28,0.4
29,0.4
30,0.4
31,0.4
32,0.4
33,0.4
34,0.4
35,0.4
36,0.4
37,0.4
38,0.4
39,0.4
40,0.4
41,0.4
42,0.4
43,0.4
44,0.4
45,0.4
46,0.4
47,0.4
48,0.4
49,0.4
50,0.6
51,0.6
52,0.6
53,0.6
54,0.6
55,0.6
56,0.6
57,0.6
58,0.6
59,0.6
60,0.4
61,0.4
62,0.4
63,0.4
64,0.4
65,0.4
66,0.4
67,0.4
68,0.4
69,0.4
70,0.4
71,0.4
72,0.4
73,0.4
74,0.4
75,0.4
76,0.4
77,0.6
78,0.6
79,0.6
80,0.6
81,0.6
82,0.6
83,0.8
84,0.8
85,0.8
86,0.8
87,0.8
88,0.8
89,0.8
90,0.8
91,0.8
92,0.6
93,0.6
94,0.6
95,0.6
96,0.6
97,0.6
98,0.6
99,0.6
100,0.6
101,1
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,1
124,1
125,1
126,1
127,1
128,1
129,1
130,1
131,1
132,1
133,1
134,1
135,1
136,1
137,1
138,1
139,1
140,1
141,0.8
142,0.8
143,0.8
144,0.8
145,0.6
146,0.6
147,0.6
148,0.6
149,0.6
150,0.6
151,0.6
152,0.6
153,0.6
154,0.6
155,0.6
156,0.6
157,0.6
158,0.6
159,0.6
160,0.6
161,0.6
162,0.6
163,0.6
164,0.6
165,0.6
166,0.6
167,0.6
168,0.6
169,0.6
170,0.6
171,0.6
172,0.6
173,0.6
174,0.6
175,0.6
176,0.6
177,0.6
178,0.6
179,0.6
180,0.8
181,0.8
182,0.8
183,0.8
184,0.8
185,0.8
186,0.8
187,0.8
188,0.8
189,0.8
190,0.8
191,0.8
192,0.8
193,0.8
194,0.8
195,0.8
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,1
210,1
211,1
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,1
226,1
227,1
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,1
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,1
253,1
254,1
255,1
256,1
257,1
258,1
259,1
260,1
261,1
262,1
263,1
264,1
265,1
266,1
267,1
268,1
269,1
270,1
271,1
272,1
273,1
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,1
295,1
296,1
297,1
298,1
299,1
300,1
301,1
302,1
303,1
304,1
305,1
306,1
307,1
308,1
309,1
310,1
311,1
312,1
313,1
314,1
315,1
316,1
317,1
318,1
319,1
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,1
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,1
343,1
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,1
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,0.6
366,0.6
367,0.6
368,0.6
369,0.6
370,0.6
371,0.6
372,0.6
373,0.6
374,0.6
375,0.6
376,0.6
377,0.6
378,0.6
379,0.6
380,0.6
381,0.6
382,0.4
383,0.4
384,0.4
385,0.4
386,0.4
387,0.4
388,0.4
389,0.4
390,0.4
391,0.4
392,0.4
393,0.4
394,0.4
395,0.4
396,0.4
397,0.4
398,0.4
399,0.4
400,0.4
401,0.4
402,0.4
403,0.4
404,0.4
405,0.4
406,0.4
407,0.4
408,0.4
409,0.4
