# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,0.06
2,0.02
3,0.02
4,0.02
5,0.02
6,0.02
7,0.02
8,0.02
9,0.02
10,0.02
11,0.02
12,0.02
13,0.02
14,0.02
15,0.02
16,0.02
17,0.02
18,0.02
19,0.02
20,0.02
21,0.02
22,0.02
23,0.02
24,0.02
25,0.02
26,0.02
27,0.02
28,-0.04
29,-0.14
30,-0.1
31,-0.1
32,-0.1
33,-0.12
34,-0.1
35,-0.1
36,-0.1
37,-0.1
38,-0.1
39,-0.1
40,-0.1
41,-0.1
42,-0.1
43,-0.1
44,-0.1
45,-0.1
46,-0.1
47,-0.1
48,-0.12
49,-0.12
50,-0.14
51,-0.14
52,-0.14
53,-0.14
54,-0.14
55,-0.14
56,-0.14
57,-0.14
58,-0.14
59,-0.14
60,-0.14
61,-0.14
62,-0.14
63,-0.14
64,-0.14
65,-0.14
66,-0.14
67,-0.14
68,-0.14
69,-0.14
70,-0.14
71,-0.14
72,-0.14
73,-0.14
74,-0.14
75,-0.14
76,-0.14
77,-0.14
78,-0.16
79,-0.16
80,-0.16
81,-0.16
82,-0.16
83,-0.16
84,-0.16
85,-0.16
86,-0.18
87,-0.18
88,-0.18
89,-0.18
90,-0.18
91,-0.18
92,-0.18
93,-0.18
94,-0.18
95,-0.18
96,-0.18
97,-0.18
98,-0.18
99,-0.18
100,-0.18
101,-0.18
102,-0.18
103,-0.18
104,-0.18
105,-0.14
106,-0.14
107,-0.14
108,-0.14
109,-0.14
110,-0.14
111,-0.14
112,-0.14
113,-0.14
114,-0.14
115,-0.14
116,-0.14
117,-0.14
118,-0.14
119,-0.14
120,-0.16
121,-0.16
122,-0.16
123,-0.16
124,-0.16
125,-0.16
126,-0.16
127,-0.16
128,-0.16
129,-0.16
130,-0.16
131,-0.16
132,-0.18
133,-0.18
134,-0.18
135,-0.18
136,-0.18
137,-0.18
138,-0.18
139,-0.18
140,-0.18
141,-0.18
142,-0.18
143,-0.18
144,-0.18
145,-0.18
146,-0.18
147,-0.18
148,-0.18
149,-0.18
150,-0.18
151,-0.18
152,-0.18
153,-0.18
154,-0.18
155,-0.18
156,-0.18
157,-0.18
158,-0.18
159,-0.18
160,-0.18
161,-0.18
162,-0.18
163,-0.18
164,-0.18
165,-0.18
166,-0.2
167,-0.2
168,-0.22
169,-0.12
170,-0.12
171,-0.12
172,-0.12
173,-0.12
174,-0.12
175,-0.14
176,-0.14
177,-0.14
178,-0.14
179,-0.14
180,-0.14
181,-0.14
182,-0.14
183,-0.14
184,-0.14
185,-0.14
186,-0.14
187,-0.14
188,-0.14
189,-0.14
190,-0.14
191,-0.14
192,-0.14
193,-0.14
194,-0.14
195,-0.14
196,-0.14
197,-0.14
198,-0.14
199,-0.14
200,-0.14
201,-0.14
202,-0.14
203,-0.14
204,-0.14
205,-0.14
206,-0.14
207,-0.14
208,-0.14
209,-0.14
210,-0.14
211,-0.14
212,-0.14
213,-0.14
214,-0.14
215,-0.16
216,-0.16
217,-0.16
218,-0.16
219,-0.16
220,-0.16
221,-0.16
222,-0.16
223,-0.18
224,-0.18
225,-0.22
226,-0.22
227,-0.22
228,-0.24
229,-0.26
230,-0.26
231,-0.26
232,-0.28
233,-0.28
234,-0.28
235,-0.3
236,-0.34
237,-0.32
238,-0.28
239,-0.28
240,-0.28
241,-0.28
242,-0.28
243,-0.28
244,-0.28
245,-0.28
246,-0.12
247,-0.12
248,-0.12
249,-0.12
250,-0.12
251,-0.12
252,-0.12
253,-0.12
254,-0.12
255,-0.12
256,-0.12
257,-0.12
258,-0.12
259,-0.12
260,-0.12
261,-0.12
262,-0.12
263,-0.12
264,-0.12
265,-0.14
266,-0.14
267,-0.14
268,-0.14
269,-0.14
270,-0.14
271,-0.14
272,-0.16
273,-0.12
274,-0.12
275,-0.12
276,-0.12
277,-0.12
278,-0.12
279,-0.12
280,-0.12
281,-0.12
282,-0.12
283,-0.12
284,-0.12
285,-0.12
286,-0.12
287,-0.12
288,-0.12
289,-0.12
290,-0.12
291,-0.12
292,-0.12
293,-0.12
294,-0.12
295,-0.12
296,-0.12
297,-0.12
298,-0.12
299,-0.12
300,-0.12
301,-0.12
