# SABCEMM Data Export
# Collector: logreturn
# Quantity: logreturn
# Method: full
# Group ID: -1
# Simulation: emb_simulation_0
# Number of Series: 1
# Time Steps: 60
#
TimeStep,Series_0
0,3.66516293384662
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0.117783034945272
10,0
11,0
12,-0.0571584135053081
13,0
14,0.162518928594245
15,0.182321555940621
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0.0800427073453312
27,0
28,0
29,0.0741079718724032
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0.068992871243142
41,0
42,-6.32533409894247
43,0.0180184714580672
44,0.0176995442493365
45,0.0173917109945645
46,0
47,0.0170944027171575
48,0.0168070886956425
49,0
50,0.0327897664480339
51,0
52,0.0160003145012225
53,0.0157483309618328
54,0
55,0.0307716090183492
56,0
57,0.0150378536518687
58,0
59,0
