# SABCEMM Data Export
# Collector: wealth
# Quantity: wealth
# Method: full
# Group ID: -1
# Simulation: emb_simulation_0
# Number of Series: 1
# Time Steps: 61
#
TimeStep,Series_0
0,1400
1,31856.4062313381
2,31881.9671671092
3,31910.0114790538
4,31939.1551480662
5,31964.815887958
6,31995.7426492761
7,32028.4981746188
8,32060.2822232162
9,32092.5675999274
10,35689.6988538947
11,35727.1884495468
12,35764.4842814019
13,34007.4875425871
14,34046.0900373132
15,39573.7658294525
16,46903.2297126686
17,46946.5855402234
18,46994.7616805014
19,47034.8961777671
20,47073.2668967846
21,47109.8965883799
22,47156.4733146281
23,47193.064946255
24,47233.4112014379
25,47280.5918901966
26,47317.4583182412
27,51002.349891993
28,51055.0132338004
29,51104.4607769262
30,54728.1045144312
31,54774.7789872113
32,54816.0648513342
33,54859.8963509608
34,54907.1534736416
35,54956.098224988
36,55009.5377021286
37,55046.0459420329
38,55095.4526485019
39,55150.6724200831
40,55207.4279611911
41,58813.821386088
42,58876.4237841473
43,5332.09639346259
44,5406.52331377614
45,5477.70020708611
46,5549.31590259364
47,5607.17779286
48,5683.294169854
49,5756.50702393304
50,5817.87795690522
51,5913.45847536791
52,5975.84790791916
53,6053.76689401912
54,6141.57071501347
55,6207.71005745485
56,6308.07224179101
57,6374.47151965561
58,6458.78077692821
59,6527.87951759946
60,6597.72696336077
