# SABCEMM Data Export
# Collector: cash
# Quantity: cash
# Method: full
# Group ID: -1
# Simulation: emb_simulation_0
# Number of Series: 1
# Time Steps: 40
#
TimeStep,Series_0
0,1000
1,31856.4060938979
2,31909.6305117717
3,31963.32231481
4,32033.2558911257
5,32072.3120607935
6,32128.7039151236
7,32183.2770238155
8,32239.6915519871
9,32285.7653113526
10,32345.4834082814
11,32409.1704114822
12,32467.1512639682
13,30909.963109449
14,32507.7806143573
15,29186.9652842896
16,39716.7196875188
17,39790.9451069148
18,43135.5726524308
19,39650.4162833622
20,36488.0198192213
21,9000.92879887424
22,6557.04195288915
23,6637.29434516685
24,6702.48438927254
25,6800.23293868045
26,6866.49820988713
27,6933.37815077174
28,7026.64115560026
29,7095.65689183999
30,7207.8179675493
31,7278.1494396572
32,7376.63413585609
33,7449.2032403259
34,7537.21274165454
35,7627.03176769473
36,7702.22182752964
37,7808.89606502201
38,7885.73891253242
39,7963.33804526957
