# SABCEMM Data Export
# Collector: excessdemand
# Quantity: excessdemand
# Method: full
# Group ID: -1
# Simulation: cross_simulation_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,0
1,0.00576
2,0.00444
3,0.00466
4,0.00484
5,0.00498
6,0.00516
7,0.00528
8,0.00556
9,0.00576
10,0.00592
11,0.00616
12,0.00636
13,0.0066
14,0.00686
15,0.00708
16,0.0073
17,0.00746
18,0.00766
19,0.00802
20,0.00822
21,0.00852
22,0.00872
23,0.00888
24,0.00926
25,0.00968
26,0.01008
27,0.01058
28,0.0109
29,0.01118
30,0.01154
31,0.01186
32,0.01204
33,0.01242
34,0.01268
35,0.01296
36,0.01334
37,0.01376
38,0.01428
39,0.01474
40,0.01508
41,0.01554
42,0.0161
43,0.01658
44,0.0172
45,0.01784
46,0.01848
47,0.019
48,0.01982
49,0.0205
50,0.02102
51,0.02182
52,0.02236
53,0.02318
54,0.02396
55,0.02458
56,0.02536
57,0.0261
58,0.027
59,0.02786
60,0.02888
61,0.02972
62,0.03058
63,0.03154
64,0.03242
65,0.03368
66,0.03486
67,0.03604
68,0.0372
69,0.03826
70,0.03964
71,0.0409
72,0.04228
73,0.04352
74,0.04456
75,0.04572
76,0.04706
77,0.04846
78,0.05016
79,0.05204
80,0.05368
81,0.05552
82,0.05736
83,0.0591
84,0.06098
85,0.06284
86,0.06472
87,0.06648
88,0.0689
89,0.07062
90,0.07296
91,0.07558
92,0.07772
93,0.0802
94,0.08264
95,0.08514
96,0.08792
97,0.0904
98,0.09356
99,0.09644
100,0.09946
101,0.10232
102,0.1052
103,0.10798
104,0.11152
105,0.11482
106,0.1177
107,0.12082
108,0.12382
109,0.12734
110,0.1311
111,0.13492
112,0.13914
113,0.14268
114,0.14668
115,0.15062
116,0.1544
117,0.15874
118,0.16276
119,0.16766
120,0.17196
121,0.1763
122,0.18084
123,0.1859
124,0.19078
125,0.19566
126,0.201
127,0.20618
128,0.21104
129,0.21644
130,0.2217
131,0.22708
132,0.23268
133,0.23788
134,0.24324
135,0.24904
136,0.25452
137,0.26094
138,0.26694
139,0.27348
140,0.27998
141,0.28694
142,0.27474
143,0.2684
144,0.27404
145,0.27922
146,0.28486
147,0.29028
148,0.29534
149,0.30074
150,0.30584
151,0.31066
152,0.31568
153,0.32072
154,0.32584
155,0.3309
156,0.33624
157,0.3413
158,0.34676
159,0.35186
160,0.35654
161,0.3608
162,0.36544
163,0.3703
164,0.37506
165,0.37946
166,0.38394
167,0.38828
168,0.3958
169,0.3999
170,0.40378
171,0.40788
172,0.41178
173,0.41502
174,0.44446
175,0.44006
176,0.4321
177,0.43384
178,0.43682
179,0.43008
180,0.43268
181,0.43482
182,0.4374
183,0.43926
184,0.441
185,0.44282
186,0.44424
187,0.44558
188,0.44686
189,0.44782
190,0.44868
191,0.44926
192,0.44952
193,0.44966
194,0.46074
195,0.47376
196,0.48778
197,0.50122
198,0.51444
199,0.52818
200,0.54164
201,0.555
202,0.56854
203,0.58278
204,0.59662
205,0.61
206,0.62464
207,0.63832
208,0.65208
209,0.66526
210,0.67842
211,0.69162
212,0.70342
213,0.71666
214,0.72864
215,0.73276
216,0.7454
217,0.75648
218,0.7544
219,0.76504
220,0.77168
221,0.78148
222,0.7817
223,0.7611
224,0.74186
225,0.73862
226,0.74576
227,0.75394
228,0.76238
229,0.77056
230,0.77778
231,0.78522
232,0.79208
233,0.79714
234,0.80228
235,0.68054
236,0.68208
237,0.68348
238,0.68442
239,0.6852
240,0.68608
241,0.63414
242,0.63478
243,0.63572
244,0.63666
245,0.63756
246,0.63878
247,0.63992
248,0.6407
249,0.55544
250,0.50256
251,0.50298
252,0.17634
253,0.17642
254,0.17648
255,0.17654
256,0.17658
257,0.17668
258,0.17674
259,0.17688
260,0.17698
261,0.17702
262,0.17714
263,0.17718
264,0.17722
265,0.17728
266,0.15184
267,0.15186
268,0.15194
269,0.15206
270,0.1521
271,0.1522
272,0.1523
273,0.15242
274,0.15248
275,0.15248
276,0.1525
277,0.15254
278,0.15258
279,0.15266
280,0.1527
281,0.15278
282,0.15278
283,0.10048
284,0.10054
285,0.10054
286,0.0149
287,0.01492
288,0.01492
289,0.01494
290,0.01494
291,0.01496
292,0.01498
293,0.01498
294,0.01498
295,0.015
296,0.015
297,0.015
298,0.015
299,0.015
300,0.015
301,0.015
302,0.015
303,0.015
304,0.015
305,0.01308
306,-0.04526
307,-0.046
308,-0.04668
309,-0.04738
310,-0.04806
311,-0.04872
312,-0.04932
313,-0.05002
314,-0.0508
315,-0.05154
316,-0.05224
317,-0.05296
318,-0.05364
319,-0.05442
320,-0.05524
321,-0.056
322,-0.05656
323,-0.05726
324,-0.0579
325,-0.0586
326,-0.05924
327,-0.06
328,-0.06084
329,-0.06152
330,-0.06226
331,-0.06308
332,-0.064
333,-0.0649
334,-0.066
335,-0.06692
336,-0.06788
337,-0.06902
338,-0.06982
339,-0.0705
340,-0.07168
341,-0.07262
342,-0.07362
343,-0.07442
344,-0.0754
345,-0.07652
346,-0.07696
347,-0.07798
348,-0.07906
349,-0.08008
350,-0.08108
351,-0.0822
352,-0.08334
353,-0.08424
354,-0.08544
355,-0.08646
356,-0.08742
357,-0.0887
358,-0.0898
359,-0.09108
360,-0.09228
361,-0.09348
362,-0.09478
363,-0.09592
364,-0.09708
365,-0.09828
366,-0.09928
367,-0.10034
368,-0.1016
369,-0.10306
370,-0.10448
371,-0.1059
372,-0.10682
373,-0.1078
374,-0.10904
375,-0.11066
376,-0.11198
377,-0.11338
378,-0.11464
379,-0.1162
380,-0.1177
381,-0.11908
382,-0.12056
383,-0.12206
384,-0.12376
385,-0.12506
386,-0.12644
387,-0.1279
388,-0.12958
389,-0.13092
390,-0.13262
391,-0.13392
392,-0.1353
393,-0.13674
394,-0.13828
395,-0.13984
396,-0.1412
397,-0.14278
