# SABCEMM Data Export
# Collector: logreturn
# Quantity: logreturn
# Method: full
# Group ID: -1
# Simulation: lls_sim_0
# Number of Series: 1
# Time Steps: 34
#
TimeStep,Series_0
0,7.82404601090629
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,-0.133531392610237
13,0.133531392610237
14,-0.133531392610237
15,0.133531392610237
16,-6.46538201152388
17,0.019418084621506
18,0
19,0.019048193781725
20,0.0186921318672191
21,0
22,0.018349137564897
23,0
24,0.0180185044387823
25,0
26,0.0176995760728345
27,0.0173917417207016
28,0
29,0
30,0.0170944324017315
31,0.0168071173907316
32,0
33,0
