# SABCEMM Data Export
# Collector: price
# Quantity: price
# Method: full
# Group ID: -1
# Simulation: cross_sim_0
# Number of Series: 1
# Time Steps: 1001
#
TimeStep,Series_0
0,1
1,0.437432717020716
2,0.865029328660117
3,1.65277669174203
4,1.86441733943815
5,0.600029599353155
6,0.849000552155563
7,2.00142077415676
8,0.989311387800827
9,0.276633566180854
10,0.19042996676989
11,0.238448935104009
12,0.102349739849354
13,0.190437741997183
14,0.0380317998661678
15,0.013260789888041
16,0.0097930477163064
17,0.0376207066310938
18,0.0220951999753065
19,0.0328516331096554
20,0.165250639281075
21,0.0400061128596164
22,0.0717474390741078
23,0.0642859084243011
24,0.0458134552936061
25,0.0497399285794668
26,0.0586224706470188
27,0.0720772828504551
28,0.0537616099625783
29,0.131248109232251
30,0.0554464115344115
31,0.115757671755416
32,0.0503662862388726
33,0.0919409587710788
34,0.0581585070758434
35,0.030160803351506
36,0.0162924182717436
37,0.0194068248537257
38,0.0462167924631729
39,0.00424868705380402
40,0.0090705599484752
41,0.00824598838945276
42,0.00184060579612869
43,0.000573142341554805
44,0.000513838864410889
45,0.000438450917843051
46,0.00038415333489531
47,0.000372809015474275
48,0.00065300619122185
49,0.000801473668875111
50,0.00118985240127143
51,0.000201642758515763
52,3.19690597463131e-05
53,4.87000331039972e-05
54,2.10928243906749e-05
55,4.37960097848043e-06
56,1.51760691205794e-06
57,1.24013087429956e-06
58,4.76752342982793e-07
59,4.14011286888449e-07
60,1.46291316252133e-07
61,2.02844464088972e-07
62,4.61179449778563e-08
63,4.56918379214532e-08
64,1.26380186373477e-08
65,1.13806925940575e-08
66,1.60818538730358e-08
67,4.74613408334276e-09
68,2.11270103941462e-08
69,8.65290850577191e-09
70,2.28405578940951e-08
71,1.70016761487834e-08
72,1.94277268022702e-08
73,2.64355274360886e-09
74,2.21326832156883e-09
75,6.32850315066885e-09
76,1.12172315790942e-08
77,8.02013151083782e-09
78,7.45840367360962e-09
79,1.72883489999054e-09
80,3.10443772761729e-09
81,6.7531921319445e-09
82,1.38544918365094e-08
83,4.12109840240997e-09
84,7.76961375328541e-10
85,3.7976779328478e-10
86,1.23326196377712e-10
87,6.71954486720013e-11
88,6.0507633348456e-11
89,1.14843490184639e-10
90,1.38416672735152e-10
91,2.98269299384182e-10
92,1.61939899000365e-10
93,5.0716107928373e-11
94,3.68862043717342e-11
95,4.75001113297715e-11
96,3.02121046332449e-11
97,3.62385537373777e-11
98,8.93637189128196e-12
99,1.26492658995081e-11
100,1.31033815155441e-11
101,1.27885656364556e-11
102,3.59637798992281e-11
103,7.59005949989711e-12
104,9.63951117776384e-13
105,2.35231663120287e-13
106,1.91829177698531e-13
107,2.66467365069515e-13
108,2.02459515403448e-13
109,1.03503161389365e-13
110,3.13387859617556e-13
111,3.25108004932199e-13
112,7.24858588078753e-14
113,6.27012248207834e-15
114,6.87898931414537e-14
115,4.20398227164922e-14
116,3.50679618531668e-14
117,1.42565750261151e-14
118,2.7304886620359e-14
119,2.42939989919823e-14
120,1.06697661425726e-14
121,9.01021493042952e-15
122,6.3691477270636e-15
123,1.62084853123838e-14
124,1.0877368061737e-13
125,1.03514840516168e-13
126,1.75341966802426e-13
127,5.1981054102195e-13
128,1.78110501728043e-12
129,9.68494871174855e-13
130,1.05714391725842e-12
131,1.38125130073231e-12
132,1.23313416468564e-13
133,1.22308205006084e-14
134,3.48830109188687e-14
135,1.09696048598676e-14
136,3.81463517035647e-15
137,6.55837255011673e-15
138,2.89563687094002e-15
139,3.10972471485428e-15
140,1.09190920456583e-14
141,8.80787548912579e-15
142,7.50881288514381e-15
143,2.08336331527319e-15
144,8.02861921934734e-15
145,8.85749662909994e-15
146,3.6142576525658e-14
147,2.52713365340845e-14
148,4.05330785815058e-14
149,1.63976801895381e-14
150,5.28958479655995e-14
151,4.20839536024816e-14
152,1.14101684970859e-13
153,6.69787120965292e-14
154,4.45871498607801e-14
155,5.72103331608479e-14
156,3.34258996035441e-14
157,3.18364894380872e-14
158,4.94467300220252e-14
159,1.61049265714934e-13
160,3.17965036930581e-14
161,7.07985610709465e-15
162,1.14421481407177e-14
163,7.6520971162523e-15
164,1.3936008557622e-14
165,1.61651045180986e-14
166,2.64418587686158e-14
167,2.09310066967854e-14
168,4.45586144925424e-14
169,3.18357655735371e-14
170,8.34982452990547e-15
171,1.04546396177304e-14
172,2.34486636255177e-14
173,2.98117991974489e-15
174,5.9487831825367e-15
175,4.0184576929958e-15
176,4.90814649527077e-15
177,2.42089598790704e-15
178,9.24935782781806e-16
179,9.98867557312074e-16
180,4.09715153448676e-16
181,1.70016705766493e-16
182,1.10359714213917e-16
183,4.97611894563521e-16
184,2.3064964920902e-15
185,3.01201675391379e-15
186,6.02672893508317e-15
187,1.62430302351848e-14
188,5.47898830200845e-14
189,1.44165407106007e-14
190,3.23068075198644e-14
191,1.68464400055917e-13
192,3.2488064719144e-13
193,1.14581845375221e-13
194,5.86764778703924e-14
195,2.18663668302097e-14
196,6.76050365112361e-14
197,1.02621867190129e-13
198,1.25402406025132e-13
199,2.73708513326437e-13
200,8.53983295257454e-13
201,3.21166530748569e-13
202,1.03712193163454e-13
203,2.27323566459111e-13
204,2.60258100792482e-14
205,1.36665426437022e-14
206,1.89055631497245e-14
207,1.69653189897015e-14
208,3.55340610088017e-15
209,8.67643289109887e-16
210,1.12822457571372e-15
211,4.51188674551949e-16
212,4.42678905443358e-16
213,1.15001705600726e-15
214,1.28192590400886e-15
